date,day_of_week,product,views,likes,comments_count,estimated_price_ksh,demand_score,year,month,day,week_of_year,is_weekend,engagement_rate,comment_rate,category_ clothing,category_ feeding ,category_ travel  ,engagement,engagement_growth
2025-04-29, Tuesday    , Baby Car Seat     ,35827,2763,386,25000,9.87,2025,4,29,18,0,0.0771184548397901,0.010773696550184213,False,False,True,38976,11332.0
2025-04-30, Wednesday  , Baby Car Seat     ,24299,1858,318,25000,10.26,2025,4,30,18,0,0.07646090534979424,0.01308641975308642,False,False,True,26475,-12501.0
2025-05-07, Wednesday  , Baby Car Seat     ,32303,1870,206,25000,7.06,2025,5,7,19,0,0.0578875681030213,0.006376919266963843,False,False,True,34379,7904.0
2025-05-09, Friday     , Baby Car Seat     ,46417,3045,219,25000,7.5,2025,5,9,19,0,0.06559955189797062,0.004717997328622517,False,False,True,49681,15302.0
2025-05-19, Monday     , Baby Car Seat     ,4911,170,32,25000,4.76,2025,5,19,21,0,0.03460912052117264,0.006514657980456026,False,False,True,5113,-44568.0
2025-05-30, Friday     , Baby Car Seat     ,48760,1891,99,25000,4.28,2025,5,30,22,0,0.03878099300670618,0.0020303111092881605,False,False,True,50750,45637.0
2025-06-21, Saturday   , Baby Car Seat     ,35621,1653,121,25000,5.32,2025,6,21,25,1,0.04640390769749032,0.0033967772724720676,False,False,True,37395,-13355.0
2025-06-25, Wednesday  , Baby Car Seat     ,23699,1708,135,25000,8.35,2025,6,25,26,0,0.0720675105485232,0.00569620253164557,False,False,True,25542,-11853.0
2025-07-01, Tuesday    , Baby Car Seat     ,48175,2768,435,25000,7.55,2025,7,1,27,0,0.05745599468615078,0.009029392228495517,False,False,True,51378,25836.0
2025-08-04, Monday     , Baby Car Seat     ,39614,1471,241,25000,4.93,2025,8,4,32,0,0.03713239934368295,0.006083554209264167,False,False,True,41326,-10052.0
2025-08-16, Saturday   , Baby Car Seat     ,25960,1906,159,25000,8.57,2025,8,16,33,1,0.07341781903624668,0.006124571472593506,False,False,True,28025,-13301.0
2025-08-26, Tuesday    , Baby Car Seat     ,49605,1568,144,25000,3.74,2025,8,26,35,0,0.03160907954682901,0.002902874652259807,False,False,True,51317,23292.0
2025-09-05, Friday     , Baby Car Seat     ,17106,988,163,25000,7.68,2025,9,5,36,0,0.0577541357339101,0.009528263284035774,False,False,True,18257,-33060.0
2025-09-17, Wednesday  , Baby Car Seat     ,6637,405,72,25000,8.27,2025,9,17,38,0,0.06101235311840916,0.01084664055438385,False,False,True,7114,-11143.0
2025-09-20, Saturday   , Baby Car Seat     ,16388,776,63,25000,5.5,2025,9,20,38,1,0.047348831533345535,0.003844041735310269,False,False,True,17227,10113.0
2025-09-21, Sunday     , Baby Car Seat     ,14015,659,86,25000,5.93,2025,9,21,38,1,0.04701769406392694,0.006135844748858447,False,False,True,14760,-2467.0
2025-09-23, Tuesday    , Baby Car Seat     ,26071,1016,156,25000,5.09,2025,9,23,39,0,0.038969008898435104,0.005983430500153421,False,False,True,27243,12483.0
2025-09-28, Sunday     , Baby Car Seat     ,29693,1431,179,25000,6.02,2025,9,28,39,1,0.04819155384926248,0.006028153835791743,False,False,True,31303,4060.0
2025-10-04, Saturday   , Baby Car Seat     ,18748,620,44,25000,3.78,2025,10,4,40,1,0.03306843031628354,0.0023467918288975413,False,False,True,19412,-11891.0
2025-10-17, Friday     , Baby Car Seat     ,13613,535,49,25000,4.65,2025,10,17,42,0,0.03929778169531365,0.003599236080505362,False,False,True,14197,-5215.0
2025-10-23, Thursday   , Baby Car Seat     ,34043,1370,267,25000,5.59,2025,10,23,43,0,0.04024203971331219,0.007842791681353543,False,False,True,35680,21483.0
2025-12-10, Wednesday  , Baby Car Seat     ,26917,922,183,25000,4.79,2025,12,10,50,0,0.03425217326695891,0.006798424845828071,False,False,True,28022,-7658.0
2025-12-22, Monday     , Baby Car Seat     ,41986,2629,225,25000,7.33,2025,12,22,52,0,0.06261461881058422,0.0053588015338080835,False,False,True,44840,16818.0
2026-01-06, Tuesday    , Baby Car Seat     ,18458,1312,169,25000,8.94,2026,1,6,2,0,0.07107643967712227,0.009155425537678098,False,False,True,19939,-24901.0
2026-01-08, Thursday   , Baby Car Seat     ,33896,1859,293,25000,7.21,2026,1,8,2,0,0.05484261144054046,0.008643832787562322,False,False,True,36048,16109.0
2026-01-13, Tuesday    , Baby Car Seat     ,37835,2948,228,25000,9.0,2026,1,13,3,0,0.07791521302463263,0.0060260069774817635,False,False,True,41011,4963.0
2026-01-22, Thursday   , Baby Car Seat     ,15350,518,31,25000,3.78,2026,1,22,4,0,0.0337437300501596,0.0020194124161292426,False,False,True,15899,-25112.0
2026-02-01, Sunday     , Baby Car Seat     ,26070,1169,220,25000,6.17,2026,2,1,5,1,0.04483909324536842,0.00843849487936788,False,False,True,27459,11560.0
2026-02-02, Monday     , Baby Car Seat     ,43786,3380,409,25000,9.59,2026,2,2,6,0,0.07719186059789435,0.009340671888916801,False,False,True,47575,20116.0
2026-02-13, Friday     , Baby Car Seat     ,10436,563,77,25000,6.87,2026,2,13,7,0,0.05394270384210022,0.007377598926894702,False,False,True,11076,-36499.0
2026-02-17, Tuesday    , Baby Car Seat     ,49037,2915,266,25000,7.03,2026,2,17,8,0,0.05944369672498878,0.005424364778335169,False,False,True,52218,41142.0
2026-03-08, Sunday     , Baby Car Seat     ,42996,1763,268,25000,5.35,2026,3,8,10,1,0.041002860664697535,0.006232992999511594,False,False,True,45027,-7191.0
2026-03-12, Thursday   , Baby Car Seat     ,22695,1585,235,25000,9.05,2026,3,12,11,0,0.0698360944659852,0.01035424744448361,False,False,True,24515,-20512.0
2026-03-19, Thursday   , Baby Car Seat     ,28588,1227,96,25000,4.96,2026,3,19,12,0,0.0429186050578894,0.003357934870054916,False,False,True,29911,5396.0
2025-03-31, Monday     , Baby Carrier      ,46131,1713,252,2800,4.81,2025,3,31,14,0,0.037132576086014044,0.005462585623861961,False,False,True,48096,0.0
2025-04-05, Saturday   , Baby Carrier      ,2189,75,10,2800,4.34,2025,4,5,14,1,0.03424657534246575,0.0045662100456621,False,False,True,2274,-45822.0
2025-04-08, Tuesday    , Baby Carrier      ,45323,2636,284,2800,7.07,2025,4,8,15,0,0.05815903274203513,0.0062659959403406585,False,False,True,48243,45969.0
2025-04-13, Sunday     , Baby Carrier      ,8873,465,50,2800,6.37,2025,4,13,15,1,0.05240027045300879,0.005634437683119224,False,False,True,9388,-38855.0
2025-04-25, Friday     , Baby Carrier      ,19412,1127,186,2800,7.72,2025,4,25,17,0,0.05805388141966723,0.009581208468552002,False,False,True,20725,11337.0
2025-05-01, Thursday   , Baby Carrier      ,46020,3385,577,2800,9.86,2025,5,1,18,0,0.07355337780578432,0.012537754503378892,False,False,True,49982,29257.0
2025-05-08, Thursday   , Baby Carrier      ,48576,2073,180,2800,5.01,2025,5,8,19,0,0.04267451674660848,0.0037054573151903162,False,False,True,50829,847.0
2025-05-11, Sunday     , Baby Carrier      ,26548,1254,182,2800,6.09,2025,5,11,19,1,0.04723341745451806,0.006855248785264982,False,False,True,27984,-22845.0
2025-05-12, Monday     , Baby Carrier      ,23556,1283,253,2800,7.59,2025,5,12,20,0,0.05446364138048138,0.010739907458504902,False,False,True,25092,-2892.0
2025-06-19, Thursday   , Baby Carrier      ,6495,211,38,2800,4.42,2025,6,19,25,0,0.03248152709359606,0.005849753694581281,False,False,True,6744,-18348.0
2025-06-24, Tuesday    , Baby Carrier      ,21508,937,182,2800,6.05,2025,6,24,26,0,0.043563159607606115,0.008461574224743132,False,False,True,22627,15883.0
2025-07-04, Friday     , Baby Carrier      ,3679,139,9,2800,4.27,2025,7,4,27,0,0.03777173913043478,0.0024456521739130437,False,False,True,3827,-18800.0
2025-07-06, Sunday     , Baby Carrier      ,31124,1671,108,2800,6.06,2025,7,6,27,1,0.053686746987951804,0.003469879518072289,False,False,True,32903,29076.0
2025-07-15, Tuesday    , Baby Carrier      ,42770,3037,448,2800,9.2,2025,7,15,29,0,0.07100605550489818,0.01047438685090365,False,False,True,46255,13352.0
2025-07-26, Saturday   , Baby Carrier      ,4914,172,31,2800,4.76,2025,7,26,30,1,0.03499491353001017,0.006307222787385555,False,False,True,5117,-41138.0
2025-08-10, Sunday     , Baby Carrier      ,25803,881,146,2800,4.55,2025,8,10,32,1,0.03414199348938149,0.005658037513563788,False,False,True,26830,21713.0
2025-09-22, Monday     , Baby Carrier      ,42118,2494,274,2800,7.22,2025,9,22,39,0,0.05921318169947055,0.006505377620551295,False,False,True,44886,18056.0
2025-09-25, Thursday   , Baby Carrier      ,30732,1217,68,2800,4.4,2025,9,25,39,0,0.03959912797318843,0.0022126053427911365,False,False,True,32017,-12869.0
2025-09-29, Monday     , Baby Carrier      ,18282,584,99,2800,4.28,2025,9,29,40,0,0.03194224142646174,0.005414866269211836,False,False,True,18965,-13052.0
2025-10-03, Friday     , Baby Carrier      ,10717,652,68,2800,7.35,2025,10,3,40,0,0.06083224482179511,0.006344467251352864,False,False,True,11437,-7528.0
2025-10-05, Sunday     , Baby Carrier      ,7126,458,80,2800,8.67,2025,10,5,40,1,0.06426266311210888,0.01122491932089238,False,False,True,7664,-3773.0
2025-10-31, Friday     , Baby Carrier      ,34293,1734,177,2800,6.09,2025,10,31,44,0,0.05056278066134018,0.005161252697264827,False,False,True,36204,28540.0
2025-11-05, Wednesday  , Baby Carrier      ,32523,1241,92,2800,4.38,2025,11,5,45,0,0.03815643832246956,0.0028286803591194196,False,False,True,33856,-2348.0
2025-11-14, Friday     , Baby Carrier      ,35187,2810,457,2800,10.58,2025,11,14,46,0,0.07985676935318858,0.012987382062066614,False,False,True,38454,4598.0
2025-11-16, Sunday     , Baby Carrier      ,34265,1874,305,2800,7.25,2025,11,16,46,1,0.0546897799568085,0.00890095138037705,False,False,True,36444,-2010.0
2025-11-24, Monday     , Baby Carrier      ,46241,2800,147,2800,6.69,2025,11,24,48,0,0.060551014229488345,0.003178928247048138,False,False,True,49188,12744.0
2025-12-04, Thursday   , Baby Carrier      ,10666,713,84,2800,8.26,2025,12,4,49,0,0.06684166119808756,0.007874753913940189,False,False,True,11463,-37725.0
2025-12-06, Saturday   , Baby Carrier      ,47080,2585,291,2800,6.73,2025,12,6,49,1,0.05490537584163463,0.006180837280431597,False,False,True,49956,38493.0
2025-12-12, Friday     , Baby Carrier      ,4482,181,33,2800,5.51,2025,12,12,50,0,0.04037474905197413,0.0073611420923488735,False,False,True,4696,-45260.0
2025-12-18, Thursday   , Baby Carrier      ,12093,681,115,2800,7.53,2025,12,18,51,0,0.056308913510831816,0.009508847362328427,False,False,True,12889,8193.0
2026-01-16, Friday     , Baby Carrier      ,30769,1533,296,2800,6.91,2026,1,16,3,0,0.04982125446863828,0.00961975950601235,False,False,True,32598,19709.0
2026-01-18, Sunday     , Baby Carrier      ,3762,271,47,2800,9.7,2026,1,18,3,1,0.07201700770661706,0.012490034546904066,False,False,True,4080,-28518.0
2026-02-20, Friday     , Baby Carrier      ,43898,2608,514,2800,8.28,2026,2,20,8,0,0.05940909815713342,0.01170869495888289,False,False,True,47020,42940.0
2026-03-03, Tuesday    , Baby Carrier      ,48007,2077,144,2800,4.93,2026,3,3,10,0,0.04326362272954508,0.002999500083319447,False,False,True,50228,3208.0
2026-03-04, Wednesday  , Baby Carrier      ,19602,1524,273,2800,10.56,2026,3,4,10,0,0.07774320257103505,0.013926439830638168,False,False,True,21399,-28829.0
2026-03-14, Saturday   , Baby Carrier      ,34088,2607,171,2800,8.65,2026,3,14,11,1,0.07647628267182963,0.005016280911731057,False,False,True,36866,15467.0
2025-04-02, Wednesday  , Baby Feeding Chair,7311,582,83,16000,10.23,2025,4,2,14,0,0.07959518599562364,0.011351203501094092,False,True,False,7976,0.0
2025-04-09, Wednesday  , Baby Feeding Chair,4612,191,16,16000,4.84,2025,4,9,15,0,0.04140472577498374,0.0034684587036635595,False,True,False,4819,-3157.0
2025-04-17, Thursday   , Baby Feeding Chair,23243,1402,128,16000,7.13,2025,4,17,16,0,0.06031664085355361,0.005506797453106178,False,True,False,24773,19954.0
2025-04-22, Tuesday    , Baby Feeding Chair,25599,1242,186,16000,6.3,2025,4,22,17,0,0.048515625,0.007265625,False,True,False,27027,2254.0
2025-04-23, Wednesday  , Baby Feeding Chair,32818,1954,178,16000,7.04,2025,4,23,17,0,0.059538681861117035,0.005423687498095615,False,True,False,34950,7923.0
2025-05-17, Saturday   , Baby Feeding Chair,17708,1291,127,16000,8.72,2025,5,17,20,1,0.07290078491162685,0.007171494720198769,False,True,False,19126,-15824.0
2025-05-18, Sunday     , Baby Feeding Chair,8546,560,95,16000,8.78,2025,5,18,20,1,0.06552006552006552,0.011115011115011115,False,True,False,9201,-9925.0
2025-05-24, Saturday   , Baby Feeding Chair,31855,1964,198,16000,7.41,2025,5,24,21,1,0.06165243596182823,0.006215469613259668,False,True,False,34017,24816.0
2025-05-26, Monday     , Baby Feeding Chair,14183,1028,195,16000,10.0,2025,5,26,22,0,0.0724760293288212,0.013747884940778343,False,True,False,15406,-18611.0
2025-06-08, Sunday     , Baby Feeding Chair,19453,1473,155,16000,9.17,2025,6,8,23,1,0.07571707617970597,0.007967513107844146,False,True,False,21081,5675.0
2025-06-13, Friday     , Baby Feeding Chair,36663,1228,99,16000,3.89,2025,6,13,24,0,0.033493344970543314,0.0027001963779183943,False,True,False,37990,16909.0
2025-06-26, Thursday   , Baby Feeding Chair,6142,399,28,16000,7.41,2025,6,26,26,0,0.06495197786097998,0.004558033534103858,False,True,False,6569,-31421.0
2025-06-27, Friday     , Baby Feeding Chair,39233,2189,215,16000,6.68,2025,6,27,26,0,0.05579344446143651,0.005479940867614824,False,True,False,41637,35068.0
2025-07-05, Saturday   , Baby Feeding Chair,11435,369,20,16000,3.58,2025,7,5,27,1,0.03226652675760756,0.0017488632388947185,False,True,False,11824,-29813.0
2025-08-09, Saturday   , Baby Feeding Chair,42262,3351,546,16000,10.51,2025,8,9,32,1,0.0792892127865982,0.012919101814826207,False,True,False,46159,34335.0
2025-08-12, Tuesday    , Baby Feeding Chair,17485,955,49,16000,6.02,2025,8,12,33,0,0.054615120667962945,0.0028022417934347476,False,True,False,18489,-27670.0
2025-08-13, Wednesday  , Baby Feeding Chair,5709,187,12,16000,3.7,2025,8,13,33,0,0.03274956217162872,0.0021015761821366026,False,True,False,5908,-12581.0
2025-08-29, Friday     , Baby Feeding Chair,12136,617,117,16000,7.01,2025,8,29,35,0,0.05083628573782648,0.0096399439729752,False,True,False,12870,6962.0
2025-09-04, Thursday   , Baby Feeding Chair,14763,1042,208,16000,9.88,2025,9,4,36,0,0.07057707938228122,0.014088322947710648,False,True,False,16013,3143.0
2025-09-24, Wednesday  , Baby Feeding Chair,20271,1088,163,16000,6.98,2025,9,24,39,0,0.05367008681925809,0.008040647198105762,False,True,False,21522,5509.0
2025-10-14, Tuesday    , Baby Feeding Chair,21123,1315,178,16000,7.91,2025,10,14,42,0,0.06225146752508995,0.008426434387426624,False,True,False,22616,1094.0
2025-10-16, Thursday   , Baby Feeding Chair,29285,1208,126,16000,4.99,2025,10,16,42,0,0.04124837806460425,0.0043023970497848806,False,True,False,30619,8003.0
2025-10-25, Saturday   , Baby Feeding Chair,4048,245,22,16000,7.14,2025,10,25,43,1,0.06050876759693752,0.005433440355643368,False,True,False,4315,-26304.0
2025-11-02, Sunday     , Baby Feeding Chair,3908,260,49,16000,9.16,2025,11,2,44,1,0.0665131747249936,0.01253517523663341,False,True,False,4217,-98.0
2025-11-06, Thursday   , Baby Feeding Chair,21282,1346,172,16000,7.94,2025,11,6,45,0,0.06324296386787577,0.008081567448198093,False,True,False,22800,18583.0
2025-11-17, Monday     , Baby Feeding Chair,25710,1258,149,16000,6.05,2025,11,17,47,0,0.04892847419392478,0.005795184940297927,False,True,False,27117,4317.0
2025-11-19, Wednesday  , Baby Feeding Chair,16382,826,136,16000,6.7,2025,11,19,47,0,0.05041811634010865,0.008301287920405298,False,True,False,17344,-9773.0
2025-12-20, Saturday   , Baby Feeding Chair,47368,1946,164,16000,4.8,2025,12,20,51,1,0.04108172011230974,0.003462179906690029,False,True,False,49478,32134.0
2025-12-31, Wednesday  , Baby Feeding Chair,9083,372,72,16000,5.68,2025,12,31,1,0,0.04095112285336856,0.007926023778071334,False,True,False,9527,-39951.0
2026-01-17, Saturday   , Baby Feeding Chair,25863,1053,57,16000,4.51,2026,1,17,3,1,0.040712960098979276,0.002203835446953294,False,True,False,26973,17446.0
2026-01-20, Tuesday    , Baby Feeding Chair,3524,166,17,16000,5.68,2026,1,20,4,0,0.04709219858156028,0.004822695035460993,False,True,False,3707,-23266.0
2026-01-23, Friday     , Baby Feeding Chair,43131,3380,171,16000,8.63,2026,1,23,4,0,0.07836409162570714,0.003964573866270982,False,True,False,46682,42975.0
2026-01-30, Friday     , Baby Feeding Chair,31711,2418,186,16000,8.8,2026,1,30,5,0,0.07624873864783048,0.005865287588294652,False,True,False,34315,-12367.0
2026-01-31, Saturday   , Baby Feeding Chair,21541,1632,89,16000,8.4,2026,1,31,5,1,0.07575898245288273,0.0041314641166094145,False,True,False,23262,-11053.0
2026-02-10, Tuesday    , Baby Feeding Chair,2545,79,14,16000,4.2,2026,2,10,7,0,0.031029065200314218,0.0054988216810683424,False,True,False,2638,-20624.0
2026-02-12, Thursday   , Baby Feeding Chair,43773,2080,343,16000,6.32,2026,2,12,7,0,0.04751679078905286,0.007835701558002468,False,True,False,46196,43558.0
2026-03-05, Thursday   , Baby Feeding Chair,48542,3046,403,16000,7.94,2026,3,5,10,0,0.0627484910285726,0.008301917887233999,False,True,False,51991,5795.0
2026-03-16, Monday     , Baby Feeding Chair,11017,586,106,16000,7.24,2026,3,16,12,0,0.053185696133599566,0.009620620802323471,False,True,False,11709,-40282.0
2026-03-26, Thursday   , Baby Feeding Chair,49295,3224,193,16000,7.32,2026,3,26,13,0,0.06540084388185655,0.003915124959428757,False,True,False,52712,41003.0
2025-05-04, Sunday     , Baby Mittens Set  ,8776,622,111,500,9.62,2025,5,4,18,1,0.0708670388515438,0.012646690213056854,True,False,False,9509,0.0
2025-05-14, Wednesday  , Baby Mittens Set  ,27342,1918,231,500,8.7,2025,5,14,20,0,0.07014592400248693,0.008448231722927257,True,False,False,29491,19982.0
2025-05-15, Thursday   , Baby Mittens Set  ,2197,109,18,500,6.6,2025,5,15,20,0,0.049590536851683346,0.00818926296633303,True,False,False,2324,-27167.0
2025-05-20, Tuesday    , Baby Mittens Set  ,37153,2670,404,500,9.36,2025,5,20,21,0,0.07186305646767509,0.010873660978629488,True,False,False,40227,37903.0
2025-05-23, Friday     , Baby Mittens Set  ,4049,323,62,500,11.04,2025,5,23,21,0,0.07975308641975308,0.015308641975308642,True,False,False,4434,-35793.0
2025-06-01, Sunday     , Baby Mittens Set  ,35986,2262,305,500,7.98,2025,6,1,22,1,0.06285603134465223,0.008475282740989801,True,False,False,38553,34119.0
2025-06-06, Friday     , Baby Mittens Set  ,11007,484,25,500,4.85,2025,6,6,23,0,0.043968023255813955,0.002271075581395349,True,False,False,11516,-27037.0
2025-06-07, Saturday   , Baby Mittens Set  ,42447,1649,315,500,5.37,2025,6,7,23,1,0.03884753109687147,0.007420844327176781,True,False,False,44411,32895.0
2025-06-16, Monday     , Baby Mittens Set  ,14533,697,65,500,5.69,2025,6,16,25,0,0.047956515756157975,0.004472271914132379,True,False,False,15295,-29116.0
2025-07-17, Thursday   , Baby Mittens Set  ,14161,452,64,500,4.1,2025,7,17,29,0,0.03191639598926705,0.00451913571529445,True,False,False,14677,-618.0
2025-07-18, Friday     , Baby Mittens Set  ,29472,1850,199,500,7.63,2025,7,18,29,0,0.0627693142876531,0.00675194245580701,True,False,False,31521,16844.0
2025-07-24, Thursday   , Baby Mittens Set  ,36911,1736,329,500,6.49,2025,7,24,30,0,0.047030775899436494,0.00891309059384482,True,False,False,38976,7455.0
