date      , day_of_week, product           , views, likes, comments_count, estimated_price_ksh, demand_score, year, month, day, week_of_year, is_weekend, engagement_rate     , comment_rate         , category_ clothing, category_ feeding, category_ travel, lag_1_views, lag_7_views, rolling_mean_7
2025-05-29, Thursday   , Baby Bodysuit     , 48975,  2217,            272,                 900,         5.64, 2025,     5,  29,           22,          0, 0.04526706958510291 , 0.00555374060764456  , True              , False            , False           ,     18646.0,     34606.0, 28195.714285714286
2025-06-10, Tuesday    , Baby Bodysuit     ,  2699,   196,             18,                 900,         8.6 , 2025,     6,  10,           24,          0, 0.0725925925925926  , 0.006666666666666667 , True              , False            , False           ,     48975.0,      7056.0, 27573.285714285714
2025-06-14, Saturday   , Baby Bodysuit     , 20070,   742,             94,                 900,         4.63, 2025,     6,  14,           24,          1, 0.036968760898809225, 0.004683374022221115 , True              , False            , False           ,      2699.0,      2206.0, 30125.285714285714
2025-06-15, Sunday     , Baby Bodysuit     , 47017,  3151,            486,                 900,         8.77, 2025,     6,  15,           24,          1, 0.06701688714960229 , 0.010336466885022757 , True              , False            , False           ,     20070.0,     43523.0, 30624.428571428572
2025-06-23, Monday     , Baby Bodysuit     , 31749,  1805,            178,                 900,         6.81, 2025,     6,  23,           26,          0, 0.0568503937007874  , 0.005606299212598425 , True              , False            , False           ,     47017.0,     27939.0, 31168.714285714286
2025-06-30, Monday     , Baby Bodysuit     ,  3150,   204,             22,                 900,         7.87, 2025,     6,  30,           27,          0, 0.06474135195176134 , 0.006981910504601714 , True              , False            , False           ,     31749.0,     49025.0, 24615.14285714286
2025-07-08, Tuesday    , Baby Bodysuit     , 28646,   928,            178,                 900,         4.48, 2025,     7,   8,           28,          0, 0.03239431703145181 , 0.006213565120256921 , True              , False            , False           ,      3150.0,     18646.0, 26043.714285714286
2025-07-12, Saturday   , Baby Bodysuit     , 31168,  2286,            332,                 900,         9.46, 2025,     7,  12,           28,          1, 0.07334210273027687 , 0.01065160897045141  , True              , False            , False           ,     28646.0,     48975.0, 23499.85714285714
2025-07-14, Monday     , Baby Bodysuit     ,  6000,   423,             73,                 900,         9.48, 2025,     7,  14,           29,          0, 0.070488251958007   , 0.012164639226795533 , True              , False            , False           ,     31168.0,      2699.0, 23971.428571428572
2025-07-20, Sunday     , Baby Bodysuit     ,  5267,   340,             34,                 900,         7.75, 2025,     7,  20,           29,          1, 0.06454062262718299 , 0.006454062262718299 , True              , False            , False           ,      6000.0,     20070.0, 21856.714285714286
2025-07-23, Wednesday  , Baby Bodysuit     , 19506,   987,            104,                 900,         6.13, 2025,     7,  23,           30,          0, 0.0505972215102271  , 0.005331419490439329 , True              , False            , False           ,      5267.0,     47017.0, 17926.571428571428
2025-08-11, Monday     , Baby Bodysuit     , 28790,  1474,            274,                 900,         7.02, 2025,     8,  11,           33,          0, 0.05119655447883019 , 0.00951686290854781  , True              , False            , False           ,     19506.0,     31749.0, 17503.85714285714
2025-08-20, Wednesday  , Baby Bodysuit     , 46472,  2609,            376,                 900,         7.23, 2025,     8,  20,           34,          0, 0.05614012437329202 , 0.008090719342413875 , True              , False            , False           ,     28790.0,      3150.0, 23692.714285714286
2025-08-22, Friday     , Baby Bodysuit     , 26504,  2008,            389,                 900,        10.51, 2025,     8,  22,           34,          0, 0.07575929069986795 , 0.014676476136578005 , True              , False            , False           ,     46472.0,     28646.0, 23386.714285714286
2025-08-25, Monday     , Baby Bodysuit     , 35307,  1196,            234,                 900,         4.71, 2025,     8,  25,           35,          0, 0.033873343151693665, 0.0066273932253313695, True              , False            , False           ,     26504.0,     31168.0, 23978.0
2025-08-31, Sunday     , Baby Bodysuit     , 36961,  2933,            212,                 900,         9.08, 2025,     8,  31,           35,          1, 0.07935176667929225 , 0.005735620366863265 , True              , False            , False           ,     35307.0,      6000.0, 28401.0
2025-09-02, Tuesday    , Baby Bodysuit     , 23168,  1666,            200,                 900,         8.92, 2025,     9,   2,           36,          0, 0.0719064266908369  , 0.008632224092537442 , True              , False            , False           ,     36961.0,      5267.0, 30958.285714285714
2025-09-08, Monday     , Baby Bodysuit     , 23949,  1770,            289,                 900,         9.8 , 2025,     9,   8,           37,          0, 0.07390396659707725 , 0.012066805845511482 , True              , False            , False           ,     23168.0,     19506.0, 31593.0
2025-09-15, Monday     , Baby Bodysuit     ,  8941,   516,             32,                 900,         6.49, 2025,     9,  15,           38,          0, 0.05770521136211138 , 0.0035786177588906284, True              , False            , False           ,     23949.0,     28790.0, 28757.428571428572
2025-10-24, Friday     , Baby Bodysuit     , 28386,  1134,            181,                 900,         5.27, 2025,    10,  24,           43,          0, 0.03994786345862543 , 0.006376158100538979 , True              , False            , False           ,      8941.0,     46472.0, 26173.714285714286
2025-10-26, Sunday     , Baby Bodysuit     ,  3917,   147,             17,                 900,         4.62, 2025,    10,  26,           43,          1, 0.03751914241960184 , 0.004338948443083206 , True              , False            , False           ,     28386.0,     26504.0, 22947.0
2025-11-12, Wednesday  , Baby Bodysuit     , 29202,  1792,            179,                 900,         7.36, 2025,    11,  12,           46,          0, 0.061363558538506315, 0.006129507242406602 , True              , False            , False           ,      3917.0,     35307.0, 22074.85714285714
2025-11-23, Sunday     , Baby Bodysuit     , 12541,   761,            142,                 900,         8.33, 2025,    11,  23,           47,          1, 0.06067612820921703 , 0.011321958220379525 , True              , False            , False           ,     29202.0,     36961.0, 18586.285714285714
2025-11-27, Thursday   , Baby Bodysuit     , 22530,  1505,            286,                 900,         9.22, 2025,    11,  27,           48,          0, 0.06679685766277572 , 0.012693622120633793 , True              , False            , False           ,     12541.0,     23168.0, 18495.14285714286
2025-12-14, Sunday     , Baby Bodysuit     , 25570,   851,            141,                 900,         4.43, 2025,    12,  14,           50,          1, 0.033279887372414066, 0.005514058894841813 , True              , False            , False           ,     22530.0,     23949.0, 18726.714285714286
2026-01-02, Friday     , Baby Bodysuit     , 22607,   884,            108,                 900,         4.87, 2026,     1,   2,            1,          0, 0.03910120311394197 , 0.004777070063694267 , True              , False            , False           ,     25570.0,      8941.0, 20679.0
2026-01-14, Wednesday  , Baby Bodysuit     , 13555,   929,             55,                 900,         7.67, 2026,     1,  14,            3,          0, 0.06853053998229566 , 0.004057244024786072 , True              , False            , False           ,     22607.0,     28386.0, 18560.285714285714
2026-01-25, Sunday     , Baby Bodysuit     , 38408,  2008,            156,                 900,         6.04, 2026,     1,  25,            4,          1, 0.05227941367908563 , 0.004061548074669999 , True              , False            , False           ,     13555.0,      3917.0, 23487.571428571428
2026-01-28, Wednesday  , Baby Bodysuit     , 17896,  1345,            197,                 900,         9.72, 2026,     1,  28,            5,          0, 0.0751522601553333  , 0.011007431413085992 , True              , False            , False           ,     38408.0,     29202.0, 21872.428571428572
2026-01-29, Thursday   , Baby Bodysuit     , 27064,  2089,            116,                 900,         8.58, 2026,     1,  29,            5,          0, 0.07718455569924257 , 0.004285978200628118 , True              , False            , False           ,     17896.0,     12541.0, 23947.14285714286
2026-02-14, Saturday   , Baby Bodysuit     , 12616,   863,             97,                 900,         8.38, 2026,     2,  14,            7,          1, 0.06839977807719744 , 0.007688039946104462 , True              , False            , False           ,     27064.0,     22530.0, 22530.85714285714
2026-02-25, Wednesday  , Baby Bodysuit     , 29376,  2287,            397,                 900,        10.49, 2026,     2,  25,            9,          0, 0.07785001872212956 , 0.013513973516696736 , True              , False            , False           ,     12616.0,     25570.0, 23074.571428571428
2026-03-02, Monday     , Baby Bodysuit     , 39443,  2327,            148,                 900,         6.65, 2026,     3,   2,           10,          0, 0.05899503092992597 , 0.003752154953858635 , True              , False            , False           ,     29376.0,     22607.0, 25479.714285714286
2026-03-11, Wednesday  , Baby Bodysuit     ,  8183,   476,             42,                 900,         6.84, 2026,     3,  11,           11,          0, 0.05816226783968719 , 0.005131964809384164 , True              , False            , False           ,     39443.0,     13555.0, 24712.285714285714
2026-03-17, Tuesday    , Baby Bodysuit     , 42329,  3005,            253,                 900,         8.29, 2026,     3,  17,           12,          0, 0.07098984171982047 , 0.005976848570753602 , True              , False            , False           ,      8183.0,     38408.0, 25272.428571428572
2026-03-25, Wednesday  , Baby Bodysuit     ,  9059,   583,             35,                 900,         7.21, 2026,     3,  25,           13,          0, 0.06434878587196469 , 0.003863134657836645 , True              , False            , False           ,     42329.0,     17896.0, 24010.0
2025-04-16, Wednesday  , Baby Car Seat     , 26300,  1145,            199,               25000,         5.87, 2025,     4,  16,           16,          0, 0.04353446637009999 , 0.007566252233755371 , False             , False            , True            ,         0.0,         0.0,     0.0
2025-04-29, Tuesday    , Baby Car Seat     , 35827,  2763,            386,               25000,         9.87, 2025,     4,  29,           18,          0, 0.0771184548397901  , 0.010773696550184213 , False             , False            , True            ,     26300.0,         0.0,     0.0
2025-04-30, Wednesday  , Baby Car Seat     , 24299,  1858,            318,               25000,        10.26, 2025,     4,  30,           18,          0, 0.07646090534979424 , 0.01308641975308642  , False             , False            , True            ,     35827.0,         0.0,     0.0
2025-05-07, Wednesday  , Baby Car Seat     , 32303,  1870,            206,               25000,         7.06, 2025,     5,   7,           19,          0, 0.0578875681030213  , 0.006376919266963843 , False             , False            , True            ,     24299.0,         0.0,     0.0
2025-05-09, Friday     , Baby Car Seat     , 46417,  3045,            219,               25000,         7.5 , 2025,     5,   9,           19,          0, 0.06559955189797062 , 0.004717997328622517 , False             , False            , True            ,     32303.0,         0.0,     0.0
2025-05-19, Monday     , Baby Car Seat     ,  4911,   170,             32,               25000,         4.76, 2025,     5,  19,           21,          0, 0.03460912052117264 , 0.006514657980456026 , False             , False            , True            ,     46417.0,         0.0,     0.0
2025-05-30, Friday     , Baby Car Seat     , 48760,  1891,             99,               25000,         4.28, 2025,     5,  30,           22,          0, 0.03878099300670618 , 0.0020303111092881605, False             , False            , True            ,      4911.0,         0.0, 31259.571428571428
2025-06-21, Saturday   , Baby Car Seat     , 35621,  1653,            121,               25000,         5.32, 2025,     6,  21,           25,          1, 0.04640390769749032 , 0.0033967772724720676, False             , False            , True            ,     48760.0,     26300.0, 32591.14285714286
2025-06-25, Wednesday  , Baby Car Seat     , 23699,  1708,            135,               25000,         8.35, 2025,     6,  25,           26,          0, 0.0720675105485232  , 0.00569620253164557  , False             , False            , True            ,     35621.0,     35827.0, 30858.571428571428
2025-07-01, Tuesday    , Baby Car Seat     , 48175,  2768,            435,               25000,         7.55, 2025,     7,   1,           27,          0, 0.05745599468615078 , 0.009029392228495517 , False             , False            , True            ,     23699.0,     24299.0, 34269.42857142857
2025-08-04, Monday     , Baby Car Seat     , 39614,  1471,            241,               25000,         4.93, 2025,     8,   4,           32,          0, 0.03713239934368295 , 0.006083554209264167 , False             , False            , True            ,     48175.0,     32303.0, 35313.857142857145
2025-08-16, Saturday   , Baby Car Seat     , 25960,  1906,            159,               25000,         8.57, 2025,     8,  16,           33,          1, 0.07341781903624668 , 0.006124571472593506 , False             , False            , True            ,     39614.0,     46417.0, 32391.428571428572
2025-08-26, Tuesday    , Baby Car Seat     , 49605,  1568,            144,               25000,         3.74, 2025,     8,  26,           35,          0, 0.03160907954682901 , 0.002902874652259807 , False             , False            , True            ,     25960.0,      4911.0, 38776.28571428572
2025-09-05, Friday     , Baby Car Seat     , 17106,   988,            163,               25000,         7.68, 2025,     9,   5,           36,          0, 0.0577541357339101  , 0.009528263284035774 , False             , False            , True            ,     49605.0,     48760.0, 34254.28571428572
2025-09-17, Wednesday  , Baby Car Seat     ,  6637,   405,             72,               25000,         8.27, 2025,     9,  17,           38,          0, 0.06101235311840916 , 0.01084664055438385  , False             , False            , True            ,     17106.0,     35621.0, 30113.714285714286
2025-09-20, Saturday   , Baby Car Seat     , 16388,   776,             63,               25000,         5.5 , 2025,     9,  20,           38,          1, 0.047348831533345535, 0.003844041735310269 , False             , False            , True            ,      6637.0,     23699.0, 29069.285714285714
2025-09-21, Sunday     , Baby Car Seat     , 14015,   659,             86,               25000,         5.93, 2025,     9,  21,           38,          1, 0.04701769406392694 , 0.006135844748858447 , False             , False            , True            ,     16388.0,     48175.0, 24189.285714285714
2025-09-23, Tuesday    , Baby Car Seat     , 26071,  1016,            156,               25000,         5.09, 2025,     9,  23,           39,          0, 0.038969008898435104, 0.005983430500153421 , False             , False            , True            ,     14015.0,     39614.0, 22254.571428571428
2025-09-28, Sunday     , Baby Car Seat     , 29693,  1431,            179,               25000,         6.02, 2025,     9,  28,           39,          1, 0.04819155384926248 , 0.006028153835791743 , False             , False            , True            ,     26071.0,     25960.0, 22787.85714285714
2025-10-04, Saturday   , Baby Car Seat     , 18748,   620,             44,               25000,         3.78, 2025,    10,   4,           40,          1, 0.03306843031628354 , 0.0023467918288975413, False             , False            , True            ,     29693.0,     49605.0, 18379.714285714286
2025-10-17, Friday     , Baby Car Seat     , 13613,   535,             49,               25000,         4.65, 2025,    10,  17,           42,          0, 0.03929778169531365 , 0.003599236080505362 , False             , False            , True            ,     18748.0,     17106.0, 17880.714285714286
2025-10-23, Thursday   , Baby Car Seat     , 34043,  1370,            267,               25000,         5.59, 2025,    10,  23,           43,          0, 0.04024203971331219 , 0.007842791681353543 , False             , False            , True            ,     13613.0,      6637.0, 21795.85714285714
2025-12-10, Wednesday  , Baby Car Seat     , 26917,   922,            183,               25000,         4.79, 2025,    12,  10,           50,          0, 0.03425217326695891 , 0.006798424845828071 , False             , False            , True            ,     34043.0,     16388.0, 23300.0
2025-12-22, Monday     , Baby Car Seat     , 41986,  2629,            225,               25000,         7.33, 2025,    12,  22,           52,          0, 0.06261461881058422 , 0.0053588015338080835, False             , False            , True            ,     26917.0,     14015.0, 27295.85714285714
2026-01-06, Tuesday    , Baby Car Seat     , 18458,  1312,            169,               25000,         8.94, 2026,     1,   6,            2,          0, 0.07107643967712227 , 0.009155425537678098 , False             , False            , True            ,     41986.0,     26071.0, 26208.285714285714
2026-01-08, Thursday   , Baby Car Seat     , 33896,  1859,            293,               25000,         7.21, 2026,     1,   8,            2,          0, 0.05484261144054046 , 0.008643832787562322 , False             , False            , True            ,     18458.0,     29693.0, 26808.714285714286
2026-01-13, Tuesday    , Baby Car Seat     , 37835,  2948,            228,               25000,         9.0 , 2026,     1,  13,            3,          0, 0.07791521302463263 , 0.0060260069774817635, False             , False            , True            ,     33896.0,     18748.0, 29535.428571428572
2026-01-22, Thursday   , Baby Car Seat     , 15350,   518,             31,               25000,         3.78, 2026,     1,  22,            4,          0, 0.0337437300501596  , 0.0020194124161292426, False             , False            , True            ,     37835.0,     13613.0, 29783.571428571428
2026-02-01, Sunday     , Baby Car Seat     , 26070,  1169,            220,               25000,         6.17, 2026,     2,   1,            5,          1, 0.04483909324536842 , 0.00843849487936788  , False             , False            , True            ,     15350.0,     34043.0, 28644.571428571428
2026-02-02, Monday     , Baby Car Seat     , 43786,  3380,            409,               25000,         9.59, 2026,     2,   2,            6,          0, 0.07719186059789435 , 0.009340671888916801 , False             , False            , True            ,     26070.0,     26917.0, 31054.428571428572
2026-02-13, Friday     , Baby Car Seat     , 10436,   563,             77,               25000,         6.87, 2026,     2,  13,            7,          0, 0.05394270384210022 , 0.007377598926894702 , False             , False            , True            ,     43786.0,     41986.0, 26547.285714285714
2026-02-17, Tuesday    , Baby Car Seat     , 49037,  2915,            266,               25000,         7.03, 2026,     2,  17,            8,          0, 0.05944369672498878 , 0.005424364778335169 , False             , False            , True            ,     10436.0,     18458.0, 30915.714285714286
2026-03-08, Sunday     , Baby Car Seat     , 42996,  1763,            268,               25000,         5.35, 2026,     3,   8,           10,          1, 0.041002860664697535, 0.006232992999511594 , False             , False            , True            ,     49037.0,     33896.0, 32215.714285714286
2026-03-12, Thursday   , Baby Car Seat     , 22695,  1585,            235,               25000,         9.05, 2026,     3,  12,           11,          0, 0.0698360944659852  , 0.01035424744448361  , False             , False            , True            ,     42996.0,     37835.0, 30052.85714285714
2026-03-19, Thursday   , Baby Car Seat     , 28588,  1227,             96,               25000,         4.96, 2026,     3,  19,           12,          0, 0.0429186050578894  , 0.003357934870054916 , False             , False            , True            ,     22695.0,     15350.0, 31944.0
2025-03-31, Monday     , Baby Carrier      , 46131,  1713,            252,                2800,         4.81, 2025,     3,  31,           14,          0, 0.037132576086014044, 0.005462585623861961 , False             , False            , True            ,         0.0,         0.0,     0.0
2025-04-05, Saturday   , Baby Carrier      ,  2189,    75,             10,                2800,         4.34, 2025,     4,   5,           14,          1, 0.03424657534246575 , 0.0045662100456621   , False             , False            , True            ,     46131.0,         0.0,     0.0
2025-04-08, Tuesday    , Baby Carrier      , 45323,  2636,            284,                2800,         7.07, 2025,     4,   8,           15,          0, 0.05815903274203513 , 0.0062659959403406585, False             , False            , True            ,      2189.0,         0.0,     0.0
2025-04-13, Sunday     , Baby Carrier      ,  8873,   465,             50,                2800,         6.37, 2025,     4,  13,           15,          1, 0.05240027045300879 , 0.005634437683119224 , False             , False            , True            ,     45323.0,         0.0,     0.0
2025-04-25, Friday     , Baby Carrier      , 19412,  1127,            186,                2800,         7.72, 2025,     4,  25,           17,          0, 0.05805388141966723 , 0.009581208468552002 , False             , False            , True            ,      8873.0,         0.0,     0.0
2025-05-01, Thursday   , Baby Carrier      , 46020,  3385,            577,                2800,         9.86, 2025,     5,   1,           18,          0, 0.07355337780578432 , 0.012537754503378892 , False             , False            , True            ,     19412.0,         0.0,     0.0
2025-05-08, Thursday   , Baby Carrier      , 48576,  2073,            180,                2800,         5.01, 2025,     5,   8,           19,          0, 0.04267451674660848 , 0.0037054573151903162, False             , False            , True            ,     46020.0,         0.0, 30932.0
2025-05-11, Sunday     , Baby Carrier      , 26548,  1254,            182,                2800,         6.09, 2025,     5,  11,           19,          1, 0.04723341745451806 , 0.006855248785264982 , False             , False            , True            ,     48576.0,     46131.0, 28134.428571428572
2025-05-12, Monday     , Baby Carrier      , 23556,  1283,            253,                2800,         7.59, 2025,     5,  12,           20,          0, 0.05446364138048138 , 0.010739907458504902 , False             , False            , True            ,     26548.0,      2189.0, 31186.85714285714
2025-06-19, Thursday   , Baby Carrier      ,  6495,   211,             38,                2800,         4.42, 2025,     6,  19,           25,          0, 0.03248152709359606 , 0.005849753694581281 , False             , False            , True            ,     23556.0,     45323.0, 25640.0
2025-06-24, Tuesday    , Baby Carrier      , 21508,   937,            182,                2800,         6.05, 2025,     6,  24,           26,          0, 0.043563159607606115, 0.008461574224743132 , False             , False            , True            ,      6495.0,      8873.0, 27445.0
2025-07-04, Friday     , Baby Carrier      ,  3679,   139,              9,                2800,         4.27, 2025,     7,   4,           27,          0, 0.03777173913043478 , 0.0024456521739130437, False             , False            , True            ,     21508.0,     19412.0, 25197.428571428572
2025-07-06, Sunday     , Baby Carrier      , 31124,  1671,            108,                2800,         6.06, 2025,     7,   6,           27,          1, 0.053686746987951804, 0.003469879518072289 , False             , False            , True            ,      3679.0,     46020.0, 23069.428571428572
2025-07-15, Tuesday    , Baby Carrier      , 42770,  3037,            448,                2800,         9.2 , 2025,     7,  15,           29,          0, 0.07100605550489818 , 0.01047438685090365  , False             , False            , True            ,     31124.0,     48576.0, 22240.0
2025-07-26, Saturday   , Baby Carrier      ,  4914,   172,             31,                2800,         4.76, 2025,     7,  26,           30,          1, 0.03499491353001017 , 0.006307222787385555 , False             , False            , True            ,     42770.0,     26548.0, 19149.428571428572
2025-08-10, Sunday     , Baby Carrier      , 25803,   881,            146,                2800,         4.55, 2025,     8,  10,           32,          1, 0.03414199348938149 , 0.005658037513563788 , False             , False            , True            ,      4914.0,     23556.0, 19470.428571428572
2025-09-22, Monday     , Baby Carrier      , 42118,  2494,            274,                2800,         7.22, 2025,     9,  22,           39,          0, 0.05921318169947055 , 0.006505377620551295 , False             , False            , True            ,     25803.0,      6495.0, 24559.428571428572
2025-09-25, Thursday   , Baby Carrier      , 30732,  1217,             68,                2800,         4.4 , 2025,     9,  25,           39,          0, 0.03959912797318843 , 0.0022126053427911365, False             , False            , True            ,     42118.0,     21508.0, 25877.14285714286
2025-09-29, Monday     , Baby Carrier      , 18282,   584,             99,                2800,         4.28, 2025,     9,  29,           40,          0, 0.03194224142646174 , 0.005414866269211836 , False             , False            , True            ,     30732.0,      3679.0, 27963.285714285714
2025-10-03, Friday     , Baby Carrier      , 10717,   652,             68,                2800,         7.35, 2025,    10,   3,           40,          0, 0.06083224482179511 , 0.006344467251352864 , False             , False            , True            ,     18282.0,     31124.0, 25048.0
2025-10-05, Sunday     , Baby Carrier      ,  7126,   458,             80,                2800,         8.67, 2025,    10,   5,           40,          1, 0.06426266311210888 , 0.01122491932089238  , False             , False            , True            ,     10717.0,     42770.0, 19956.0
2025-10-31, Friday     , Baby Carrier      , 34293,  1734,            177,                2800,         6.09, 2025,    10,  31,           44,          0, 0.05056278066134018 , 0.005161252697264827 , False             , False            , True            ,      7126.0,      4914.0, 24153.0
2025-11-05, Wednesday  , Baby Carrier      , 32523,  1241,             92,                2800,         4.38, 2025,    11,   5,           45,          0, 0.03815643832246956 , 0.0028286803591194196, False             , False            , True            ,     34293.0,     25803.0, 25113.0
2025-11-14, Friday     , Baby Carrier      , 35187,  2810,            457,                2800,        10.58, 2025,    11,  14,           46,          0, 0.07985676935318858 , 0.012987382062066614 , False             , False            , True            ,     32523.0,     42118.0, 24122.85714285714
2025-11-16, Sunday     , Baby Carrier      , 34265,  1874,            305,                2800,         7.25, 2025,    11,  16,           46,          1, 0.0546897799568085  , 0.00890095138037705  , False             , False            , True            ,     35187.0,     30732.0, 24627.571428571428
2025-11-24, Monday     , Baby Carrier      , 46241,  2800,            147,                2800,         6.69, 2025,    11,  24,           48,          0, 0.060551014229488345, 0.003178928247048138 , False             , False            , True            ,     34265.0,     18282.0, 28621.714285714286
2025-12-04, Thursday   , Baby Carrier      , 10666,   713,             84,                2800,         8.26, 2025,    12,   4,           49,          0, 0.06684166119808756 , 0.007874753913940189 , False             , False            , True            ,     46241.0,     10717.0, 28614.428571428572
2025-12-06, Saturday   , Baby Carrier      , 47080,  2585,            291,                2800,         6.73, 2025,    12,   6,           49,          1, 0.05490537584163463 , 0.006180837280431597 , False             , False            , True            ,     10666.0,      7126.0, 34322.142857142855
2025-12-12, Friday     , Baby Carrier      ,  4482,   181,             33,                2800,         5.51, 2025,    12,  12,           50,          0, 0.04037474905197413 , 0.0073611420923488735, False             , False            , True            ,     47080.0,     34293.0, 30063.428571428572
2025-12-18, Thursday   , Baby Carrier      , 12093,   681,            115,                2800,         7.53, 2025,    12,  18,           51,          0, 0.056308913510831816, 0.009508847362328427 , False             , False            , True            ,      4482.0,     32523.0, 27144.85714285714
2026-01-16, Friday     , Baby Carrier      , 30769,  1533,            296,                2800,         6.91, 2026,     1,  16,            3,          0, 0.04982125446863828 , 0.00961975950601235  , False             , False            , True            ,     12093.0,     35187.0, 26513.714285714286
2026-01-18, Sunday     , Baby Carrier      ,  3762,   271,             47,                2800,         9.7 , 2026,     1,  18,            3,          1, 0.07201700770661706 , 0.012490034546904066 , False             , False            , True            ,     30769.0,     34265.0, 22156.14285714286
2026-02-20, Friday     , Baby Carrier      , 43898,  2608,            514,                2800,         8.28, 2026,     2,  20,            8,          0, 0.05940909815713342 , 0.01170869495888289  , False             , False            , True            ,      3762.0,     46241.0, 21821.428571428572
2026-03-03, Tuesday    , Baby Carrier      , 48007,  2077,            144,                2800,         4.93, 2026,     3,   3,           10,          0, 0.04326362272954508 , 0.002999500083319447 , False             , False            , True            ,     43898.0,     10666.0, 27155.85714285714
2026-03-04, Wednesday  , Baby Carrier      , 19602,  1524,            273,                2800,        10.56, 2026,     3,   4,           10,          0, 0.07774320257103505 , 0.013926439830638168 , False             , False            , True            ,     48007.0,     47080.0, 23230.428571428572
2026-03-14, Saturday   , Baby Carrier      , 34088,  2607,            171,                2800,         8.65, 2026,     3,  14,           11,          1, 0.07647628267182963 , 0.005016280911731057 , False             , False            , True            ,     19602.0,      4482.0, 27459.85714285714
2025-04-02, Wednesday  , Baby Feeding Chair,  7311,   582,             83,               16000,        10.23, 2025,     4,   2,           14,          0, 0.07959518599562364 , 0.011351203501094092 , False             , True             , False           ,         0.0,         0.0,     0.0
2025-04-09, Wednesday  , Baby Feeding Chair,  4612,   191,             16,               16000,         4.84, 2025,     4,   9,           15,          0, 0.04140472577498374 , 0.0034684587036635595, False             , True             , False           ,      7311.0,         0.0,     0.0
2025-04-17, Thursday   , Baby Feeding Chair, 23243,  1402,            128,               16000,         7.13, 2025,     4,  17,           16,          0, 0.06031664085355361 , 0.005506797453106178 , False             , True             , False           ,      4612.0,         0.0,     0.0
2025-04-22, Tuesday    , Baby Feeding Chair, 25599,  1242,            186,               16000,         6.3 , 2025,     4,  22,           17,          0, 0.048515625         , 0.007265625          , False             , True             , False           ,     23243.0,         0.0,     0.0
2025-04-23, Wednesday  , Baby Feeding Chair, 32818,  1954,            178,               16000,         7.04, 2025,     4,  23,           17,          0, 0.059538681861117035, 0.005423687498095615 , False             , True             , False           ,     25599.0,         0.0,     0.0
2025-05-17, Saturday   , Baby Feeding Chair, 17708,  1291,            127,               16000,         8.72, 2025,     5,  17,           20,          1, 0.07290078491162685 , 0.007171494720198769 , False             , True             , False           ,     32818.0,         0.0,     0.0
2025-05-18, Sunday     , Baby Feeding Chair,  8546,   560,             95,               16000,         8.78, 2025,     5,  18,           20,          1, 0.06552006552006552 , 0.011115011115011115 , False             , True             , False           ,     17708.0,         0.0, 17119.571428571428
